11_11075	ABC03430-1-1-265
11_20001	1001-1187
11_20002	10012-1239
11_20003	10047-338
11_10002	10070-1435
11_20005	1007-651
11_10003	1009-1089
11_20007	1010-1268
11_20008	1011-1338
11_10005	10126-999
11_10006	1016-376
11_20010	10207-1024
11_10008	10248-954
11_20012	10255-529
11_20013	10273-543
11_20014	10281-245
11_20015	1028-794
11_20017	10317-448
11_20018	10318-572
11_10010	10321-364
11_20020	10346-92
11_10011	10353-119
11_20021	10360-563
11_20022	10386-329
11_20023	1038-754
11_10012	1040-279
11_10013	1041-1441
11_10015	10425-725
11_10017	10489-586
11_20029	10535-217
11_20032	1062-478
11_10023	1066-2110
11_10024	10669-188
11_20036	10687-540
11_20039	10719-459
11_10025	1073-916
11_10026	1074-992
11_20042	10760-846
11_10028	1077-457
11_20044	10780-204
11_20047	10795-462
11_10030	10922-503
11_20052	10927-876
11_20053	1096-1482
11_20057	10982-896
11_20058	11016-603
11_20060	1107-392
11_20062	1110-715
11_20063	11116-257
11_20064	111-499
11_20072	11293-490
11_20074	11387-335
11_10040	1140-1508
11_20076	11442-592
11_10041	11454-414
11_20078	11470-478
11_20080	11591-265
11_10043	11603-445
11_10044	11609-524
11_20083	11619-618
11_20085	11657-398
11_20086	11660-365
11_10046	1169-944
11_20089	11707-509
11_10047	1176-1547
11_20092	1178-279
11_10048	1180-70
11_20093	11832-415
11_20095	1190-86
11_10050	11912-654
11_20096	11931-389
11_20097	11944-542
11_20099	11979-928
11_20100	1198-537
11_20101	12005-188
11_20102	12007-70
11_20103	12027-128
11_20104	1204-1104
11_20105	12045-83
11_20107	12100-378
11_20109	12128-313
11_10055	1212-890
11_10056	1213-1959
11_10058	1215-862
11_10061	12210-480
11_20112	12224-363
11_20113	12239-662
11_20114	1227-1323
11_20115	12280-797
11_20117	12368-207
11_20118	12384-427
11_10064	1240-844
11_20119	1241-1649
11_20121	12492-541
11_10065	1250-923
11_20124	12554-462
11_20125	1270-1263
11_20126	12701-485
11_10069	1272-459
11_10070	1275-734
11_10072	1283-332
11_20129	1286-990
11_10073	1290-729
11_20130	1291-936
11_20131	1292-406
11_20132	12925-332
11_10075	1294-473
11_20133	1298-1450
11_20134	1300-1462
11_10078	13008-352
11_20135	1304-478
11_10080	1306-408
11_20136	13081-199
11_20138	13095-187
11_20139	13108-412
11_20141	13178-89
11_20145	13301-90
11_10083	1337-638
11_20146	13379-171
11_10084	1341-841
11_10085	1344-930
11_20149	1347-1061
11_20150	13494-110
11_20153	13589-175
11_20155	13750-348
11_10090	1375-2534
11_10092	1381-547
11_10093	1385-827
11_20157	1386-2088
11_10094	139-1263
11_20159	13924-403
11_20160	13926-531
11_10095	1394-1222
11_20162	1404-64
11_20168	1435-670
11_20169	14371-423
11_20170	1437-687
11_20172	1440-1148
11_20173	1447-464
11_10101	1449-1103
11_20178	14644-498
11_10107	1473-1115
11_20180	14765-388
11_20182	14832-296
11_10109	1486-908
11_20184	1490-959
11_20185	1493-839
11_10111	1497-628
11_10112	1499-290
11_20188	1501-353
11_20192	1511-545
11_10113	1513-514
11_20193	15141-257
11_10115	151-730
11_20195	1518-624
11_20197	1523-1136
11_10116	152-329
11_20200	1549-1898
11_10120	1553-753
11_10121	1555-631
11_10123	1561-1053
11_10124	1565-514
11_20205	1578-552
11_20206	1582-63
11_10127	1583-522
11_10128	1584-263
11_10129	1588-537
11_10130	1590-544
11_20210	1593-1597
11_20211	1597-158
11_20212	1603-1165
11_20215	1613-291
11_20220	1625-303
